,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
8287,PRDM5,115.834472130069,0.0676051090227528,0.243242842447264,0.277932572825487,0.781064119088725,1,Non-PcB,3.89759895426432
8288,PRDX1,4879.35409485583,0.0360672050414814,0.097139131705052,0.371294291068958,0.710418349619155,1,Non-PcB,8.87601276208878
8289,PRDX2,2810.07726936302,-0.00715109547142046,0.115558900571395,-0.061882688707326,0.950656253483639,1,Non-PcB,8.31167839892438
8290,PRDX3,1545.09083814432,-0.0198931928353522,0.127874100271313,-0.155568584984328,0.876373088952456,1,Non-PcB,7.37269375207183
8291,PRDX4,1209.37635350792,0.0363703024080523,0.111060331114562,0.32748238766311,0.743303061846569,1,Non-PcB,7.07470005997149
8292,PRDX5,1708.91501452578,-0.111944349925235,0.122827186882155,-0.91139716512956,0.362086146760826,1,Non-PcB,7.79081413942429
8293,PRDX6,2126.98611254147,0.0594175247258943,0.10178565723847,0.583751447285808,0.559387548403179,1,Non-PcB,7.66878998951214
8294,PREB,394.408006378404,0.0464159456839503,0.142562229551946,0.325583752651942,0.744739306464734,1,Non-PcB,5.26632513443612
8295,PRECSIT,52.1944365869184,0.0130487624126064,0.408512241935903,0.0319421575979449,0.974518178877298,1,Non-PcB,3.02069192959707
8296,PRELID1,1721.54575334989,0.0254037707315423,0.104092665343048,0.244049574941918,0.807192425192388,1,Non-PcB,7.46940677235359
8297,PRELID2,137.976482340214,0.195189431514233,0.205810341687968,0.948394672072226,0.342928570773278,1,Non-PcB,3.74550140725675
8298,PREP,908.516994397422,0.0405690764106115,0.0981238148625625,0.413447810477352,0.679278552023394,1,Non-PcB,6.94959234719868
8299,PREPL,926.116188431205,-0.0119200295232561,0.118498498362497,-0.100592241150532,0.919874156129397,1,Non-PcB,6.34539816328837
8300,PREX1,5385.41364216417,-0.229448717677973,0.134145908003764,-1.71044142227235,0.0871842768087917,0.995846128674481,Non-PcB,8.85475284932918
8301,PREX2,166.354007024929,-0.00428255200052034,0.223644484553574,-0.0191489274107024,0.984722300143553,1,Non-PcB,4.28860499251826
8302,PRG4,98.2874923140526,-0.0995191849617541,0.27967706408096,-0.355836061454598,0.721963341168814,1,Non-PcB,2.97159833033628
8303,PRICKLE2,156.511464518274,-0.365420770771029,0.221984115987322,-1.64615728988419,0.0997313799618942,1,Non-PcB,4.44508892623157
8304,PRICKLE2-AS1,111.940201930021,-0.158561264621557,0.259103452702771,-0.611961218453733,0.540563416528275,1,Non-PcB,4.00066046026706
8305,PRICKLE3,197.190312551052,0.162416158845939,0.240632535303849,0.674955107965158,0.499704286828328,1,Non-PcB,4.24430951089361
8306,PRIM1,265.122819517967,0.305005177154167,0.210108793527337,1.45165355544476,0.146597959437141,1,Non-PcB,4.52905865483191
8307,PRIM2,300.196158869591,0.0473313715916713,0.155840172845207,0.303717396660518,0.761343203100453,1,Non-PcB,4.84895852857923
8308,PRIMPOL,140.783731489163,0.117703470002349,0.223993194756734,0.525477883960625,0.599251023686372,1,Non-PcB,4.17118863737885
8309,PRKAA1,488.903873384187,0.100570863188898,0.137236795991708,0.732827245507647,0.463663801603304,1,Non-PcB,5.64799139254896
8310,PRKAA2,181.140673009883,-0.00241818698422773,0.242501291829894,-0.00997185196821139,0.99204374513096,1,Non-PcB,4.59642885319603
